VERIFICENTRO,RAZON SOCIAL,DIRECCION,DELEGACION,TELEFONOS,LATITUD,LONGITUD
9001,"CONTROL AMBIENTAL IXTAPALAPA, S.A. DE C.V.","PEDRO ACEVES # 70 ESQ. CAYETANO ANDRADE, COL. STA. MARTHA ACATITLA",IZTAPALAPA,57335157 57347163,19.3672194444444,-99.01815
9002,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C.V.","RODOLFO GAONA # 86, COL. LOMAS DE SOTELO",MIGUEL HIDALGO,52803460,19.4522444444444,-99.2179638888889
9003,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C.V.","EJE 5 SUR, MANZANA 5 LOTE, 3 COL. CENTRAL DE ABASTOS",IZTAPALAPA,56940734,19.3802444444444,-99.0900694444444
9004,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C.V.","PROL. EJE CENTRAL LAZARO CARDENAS # 120, COL. LA CANDELARIA",COYOACAN,56106585,19.3335194444444,-99.15125
9005,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C.V.",COLTONGO # 67 COL. COLTONGO,AZCAPOTZALCO,57191023,19.4795611111111,-99.1490083333333
9006,"VERIFICACION DURANGO, S.A. DE C.V.","AV. CUAUHTEMOC # 85, COL. ROMA",CUAUHTEMOC,55254441 55253431,19.4217916666667,-99.1541416666667
9007,"VERIFICACION BARRAGAN, S.A. DE C.V.","HENRY FORD # 5631, COL BONDOJITO",GUSTAVO A. MADERO,57606155 57606333,19.4670638888889,-99.1101777777778
9008,"VERIFICACION MISTERIOS, S.A. DE C.V.","CALZ. DE GUADALUPE # 296, COL. VALLEJO",GUSTAVO A. MADERO,55375416 55375187,19.4663638888889,-99.1245333333333
9009,"M A C 3, S.A DE C.V.","AV. ERMITA IZTAPALAPA # 4054, COL. SANTA MARTHA ACATITLA",IZTAPALAPA,54824063,19.3563555555556,-99.0058888888889
9010,"MAC 4, S.A.D E C.V.","AV. TAXQUEÑA # 2395, COL. SAN FRANCISCO CULHUACAN",IZTAPALAPA,54824064,19.3384416666667,-99.1122805555556
9011,"M A C 2, S.A. DE C.V.","PROLONGACION SAN ANTONIO # 705, COL. LOMAS DE BECERRA",ALVARO OBREGON,54824062,19.3819888888889,-99.2015138888889
9012,"DIAGNOSTICO AUTOMOTORES, S.A DE C.V.","CALZ. MEXICO TACUBA # 1292, COL. ARGENTINA",MIGUEL HIDALGO,53862196 53861782,19.4567527777778,-99.2060638888889
9013,"VERIFICACION CUAUHTEMOC, S.A DE C.V.","CALZ. IGNACIO ZARAGOZA # 1444, COL. JUAN ESCUTIA",IZTAPALAPA,55580101 57014551,19.3950722222222,-99.0522666666667
9014,"M A C 1, S.A DE C.V.","AV. 510 # 340, COL. SAN JUAN DE ARAGON",GUSTAVO A. MADERO,54824061 54824050,19.4647555555556,-99.0840222222222
9015,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C.V.","LA TURBA # 68 MZ. 208 LOTE 52, COL. GRANJAS CABRERA",TLAHUAC,58595395,19.3034805555556,-99.0641083333333
9016,"CONSULTORIA PRO AMBIENTAL, S.A. DE C.V.","AV. GPE. I. RAMIREZ # 679, COL. LA NORIA TEPEPAN",XOCHIMILCO,56767271 56530949,19.2684527777778,-99.1262583333333
9017,"DIAGNOSTICO DE EMISIONES, S.A. DE C.V.","AV. GUERRERO # 55, COL. GUERRERO",CUAUHTEMOC,55462920 55464593,19.4406861111111,-99.1484027777778
9018,"GESTION DEL AIRE, S.A. DE C.V.","CALLE CHILPANCINGO # 142, COL. ROMA SUR",CUAUHTEMOC,55847379 55741175,19.402325,-99.1682888888889
9019,"CONTROL ATMOSFERICO DE MEXICO, S.A. DE C. V.","GABRIEL MANCERA # 305, COL. DEL VALLE",BENITO JUAREZ,56396616 56396616,19.3940777777778,-99.1626527777778
9020,"SERVICIO AMBIENTAL AZCAPOTZALCO, S.A. DE C.V.","AV. REFINERIA AZCAPOTZALCO # 190, COL. SANTA INES",AZCAPOTZALCO,53947196 53826333,19.4921805555556,-99.1906083333333
9021,"SERVICIOS DE MEDICION ORGANIZADA DE GASES, S.A. DE C.V.","CALZ. DE LOS GALLOS # 1, COL. AGRICULTURA",MIGUEL HIDALGO,53410448 53418930,19.45595,-99.1643194444444
9022,"RENOVACION AUTOMOTRIZ, S.A DE C.V.","NORTE 25 # 4, ESQ. OCEANIA, COL. MOCTEZUMA 2DA. SECCION",VENUSTIANO CARRANZA,57845558,19.4361861111111,-99.1034083333333
9023,"SERVICIO DE VERIFICACION EXPRESS VEYCA, S.A. DE C.V.",CALZ. DE GUADALUPE. #. 70 COL. EXHIPODROMO DE PERALVILLO,CUAUHTEMOC,55264284 55291879,19.4565083333333,-99.1285111111111
9024,"SERVICIOS DE MEDICION ORGANIZADA DE GASES, S.A. DE C.V.","MARIANO ESCOBEDO # 164, COL. ANAHUAC",MIGUEL HIDALGO,55317894 55450421,19.4454166666667,-99.1824388888889
9025,"PROYECCIONES AMBIENTALES, S.A DE C.V.",,,,,
9026,"GRUPO ORNUTO, S.A DE C.V.","AV. SANTA ANA # 327, COL. PRESIDENTES EJIDALES 2DA. SECCION.",COYOACAN,56564642 56955981,19.3290805555556,-99.1233
9027,"CORPORATIVO TOSO, S.A DE C.V.","VAINILLA # 248 BIS , COL. GRANJAS MEXICO",IZTACALCO,56499643 56493326,19.4012138888889,-99.1007
9028,"CENTRO VEHICULAR DE MEXICO, S.A DE C.V.","AVIACION MILITAR LOTE 8 # 24, COL. FRACC. INDUSTRIAL PUERTO AEREO.",VENUSTIANO CARRANZA,57628734 57628735,19.4228388888889,-99.0935861111111
9029,"EMISIONES LA VIGA, S.A. DE C.V.","CALZ. DE LA VIGA # 461, COL. VIADUCTO PIEDAD",IZTACALCO,55385437 55195513,19.4020166666667,-99.1253472222222
9030,"VERIFICENTRO PEDREGAL, S.A DE C.V.","CARRETERA PICACHO AJUSCO # 933, COL. HEROES DE PADIERNA",TLALPAN,56305717 56305718,19.28085,-99.2148611111111
9031,"VERIFICENTRO EL ROSARIO, S.A DE C.V.",AV. DE LAS CULTURAS # 33 ESQ. RENACIM. UNIDAD HAB. EL ROSARIO,AZCAPOTZALCO,53198073 53198074,19.5083222222222,-99.2079222222222
9032,"VERIFICENTRO SAN JOAQUIN, S.A DE C.V.","CALLE DE LAGO HIELMAR # 23, COL. PENSIL",MIGUEL HIDALGO,55450574 55457680,19.4461222222222,-99.1917222222222
9033,"VERIFICENTRO SIGLO XXI, S.A. DE C.V.",LUIS SPOTA # 24 COL. SAN SIMON TICUMAC,BENITO JUAREZ,56741028 56740790,19.3767083333333,-99.1418444444444
9034,"ARTE AUTOMOTRIZ, S. DE R.L. DE C.V.","AVE. PACIFICO # 293, COL. LOS REYES COYOACAN",COYOACAN,55440339 56193980,19.3356527777778,-99.1486305555556
9035,"DINAMICA EN EQUIPO INDUSTRIAL, S.A. DE C.V.","AV. CONGRESO DE LA UNION # 38, COL. GRANJAS MODERNAS",GUSTAVO A. MADERO,57816582 55771533,19.4791194444444,-99.1069083333333
9036,"IMPULSORA ECOLOGICA SANTA FE, S.A. DE C.V.","AV. VASCO DE QUIROGA # 1845, COL. SANTA FE",ALVARO OBREGON,55708628 55708943,19.3800638888889,-99.2460361111111
9037,"AUTO SERVICIO ESPINO, S.A.","ANTONIO MAURA # 107, COL. MODERNA",BENITO JUAREZ,56962038 55906749,19.3951555555556,-99.1365333333333
9038,"VERIFICENTRO, S.A. DE C.V.","AVE. GABRIEL MANCERA # 730, COL. DEL VALLE",BENITO JUAREZ,56693950 56693951,19.38795,-99.1637666666667
9039,"SUPER AMBIENTAL CUAJIMALPA, S.A. DE C.V.","CARRETA FEDERAL. MEXICO-TOLUCA # 5395, COL. EL MOLINO",CUAJIMALPA,52242848 52922105,19.3637277777778,-99.2856138888889
9040,"CONTROL ECOLOGICO COYOACAN, S.A. DE C.V.","RANCHO SAN LORENZO # 153, COL. LOS GIRASOLES",COYOACAN,56796988 56790307,19.3054444444444,-99.1267833333333
9041,"VERIFIEXPRESS, S.A. DE C.V.","CALZADA LAS AGUILAS # 969, COL. AMP. LAS AGUILAS",ALVARO OBREGON,56354991,19.3507638888889,-99.2199916666667
9042,"TECNO AMBIENTAL NATIVITAS, S.A. DE C.V.","CAMINO A NATIVITAS # 471, COL. BARRIO XALTOCAN",XOCHIMILCO,56753826 56752223,19.2511833333333,-99.0986972222222
9043,"VERIFIMOTORS, S.A. DE C.V.","AV. SAN FRANCISCO MZ 29 LT 13, COL. GUADALUPE TLALTENCO",TLAHUAC,58410000 58410992,19.2973194444444,-99.0086527777778
9044,"CARTOM, S.A. DE C.V.",MAR DEL NECTAR ESQ. AV. TLAHUAC MZ. 115 LT-1 COL. ÉL TRIANGULO,TLAHUAC,58412613 58413017,19.283025,-99.0109833333333
9045,"MECANICA AMBIENTAL, S.A. DE C.V.","AVE. SAN JUAN BOSCO # 19, COL. HUIPULCO",TLALPAN,56550829 56550764,19.2974388888889,-99.1496638888889
9046,"VERIFICACION SANTA LUCIA, S.A. DE C.V.","CAMINO A SANTA LUCIA # 814, COL. HOGAR Y REDENCION",ALVARO OBREGON,56602258 56602271,19.3727527777778,-99.2076833333333
9047,"VERIFICACION 100 METROS, S.A. DE C.V.","CALLE 14 # 264, COL. GUADALUPE PROLETARIA",GUSTAVO A. MADERO,53675136 53675135,19.5231472222222,-99.156725
